Quadro,Min_Val,Max_Val
frame0001.png,-25314834.0,121124360.0
frame0002.png,-25336240.0,120962800.0
frame0003.png,-25445596.0,120897464.0
frame0004.png,-25456628.0,120893608.0
frame0005.png,-25447696.0,120661512.0
frame0006.png,-25477612.0,120539040.0
frame0007.png,-25507108.0,120605328.0
frame0008.png,-25565128.0,120442784.0
frame0009.png,-25594448.0,120551384.0
frame0010.png,-25631618.0,120561112.0
frame0011.png,-25694402.0,120704408.0
frame0012.png,-25725268.0,120637560.0
frame0013.png,-25957978.0,120661384.0
frame0014.png,-26060282.0,120654592.0
frame0015.png,-26272494.0,120734696.0
frame0016.png,-26363822.0,120671080.0
frame0017.png,-26527208.0,120727488.0
frame0018.png,-26693750.0,120447856.0
frame0019.png,-26797174.0,120597288.0
frame0020.png,-27015208.0,120480408.0
frame0021.png,-27194200.0,120298384.0
frame0022.png,-27428982.0,120155072.0
frame0023.png,-27480096.0,120146912.0
frame0024.png,-27668468.0,119928192.0
frame0025.png,-27806560.0,119340896.0
frame0026.png,-27882328.0,118972024.0
frame0027.png,-27872246.0,118569776.0
frame0028.png,-27807410.0,118000496.0
frame0029.png,-27904548.0,117561152.0
frame0030.png,-28026838.0,117156480.0
frame0031.png,-28105734.0,116690032.0
frame0032.png,-28201752.0,116274112.0
frame0033.png,-28426888.0,115985128.0
frame0034.png,-28395724.0,115267096.0
frame0035.png,-28633392.0,114827832.0
frame0036.png,-28628360.0,114357992.0
frame0037.png,-28739302.0,114055520.0
frame0038.png,-28932764.0,113535040.0
frame0039.png,-29737838.0,113070256.0
frame0040.png,-30516702.0,112608248.0
frame0041.png,-31231588.0,112139776.0
frame0042.png,-31890262.0,111526040.0
frame0043.png,-32471242.0,111175120.0
frame0044.png,-33067886.0,110582384.0
frame0045.png,-33536450.0,110179096.0
frame0046.png,-34022160.0,109603728.0
frame0047.png,-34445284.0,109373032.0
frame0048.png,-34778464.0,109000768.0
frame0049.png,-35017020.0,108644488.0
frame0050.png,-35190096.0,108138032.0
frame0051.png,-35359656.0,107793400.0
frame0052.png,-35439292.0,107460424.0
frame0053.png,-35609576.0,107207608.0
frame0054.png,-35704520.0,107043776.0
frame0055.png,-35838984.0,106770360.0
frame0056.png,-35813856.0,106512304.0
frame0057.png,-35896200.0,106331912.0
frame0058.png,-35889540.0,105951640.0
frame0059.png,-36000896.0,105850320.0
frame0060.png,-35994028.0,105614880.0
frame0061.png,-36104028.0,105407232.0
frame0062.png,-35991564.0,105041776.0
frame0063.png,-36049512.0,104905456.0
frame0064.png,-36009688.0,104644648.0
frame0065.png,-36033100.0,104404136.0
frame0066.png,-35869688.0,104177344.0
frame0067.png,-35931068.0,103905816.0
frame0068.png,-35697032.0,103600040.0
frame0069.png,-35697008.0,103458848.0
frame0070.png,-35622908.0,103281768.0
frame0071.png,-35643836.0,103155200.0
frame0072.png,-35655020.0,102885544.0
frame0073.png,-35760928.0,102721288.0
frame0074.png,-35791580.0,102551584.0
frame0075.png,-35867584.0,102541856.0
frame0076.png,-35770044.0,102233040.0
frame0077.png,-35821956.0,101932712.0
frame0078.png,-35704892.0,101607768.0
frame0079.png,-35695360.0,101336624.0
frame0080.png,-35495880.0,101035112.0
frame0081.png,-35542740.0,100908856.0
frame0082.png,-35464200.0,100543424.0
frame0083.png,-35428476.0,100252232.0
frame0084.png,-35040492.0,99906720.0
frame0085.png,-34969216.0,99642336.0
frame0086.png,-34967372.0,99439936.0
frame0087.png,-34791616.0,99265816.0
frame0088.png,-34323348.0,99092808.0
frame0089.png,-34223888.0,98935152.0
frame0090.png,-34170420.0,98879368.0
frame0091.png,-34026600.0,98883344.0
frame0092.png,-33940528.0,98740824.0
frame0093.png,-33889784.0,98402968.0
frame0094.png,-33826252.0,98057904.0
frame0095.png,-33604100.0,97855080.0
frame0096.png,-33466768.0,97688936.0
frame0097.png,-33311654.0,97407296.0
frame0098.png,-33218804.0,97305088.0
frame0099.png,-33109330.0,97148304.0
frame0100.png,-32947252.0,97120928.0
frame0101.png,-32763838.0,97029816.0
frame0102.png,-32671228.0,96833984.0
frame0103.png,-32501232.0,96594528.0
frame0104.png,-32336482.0,96387240.0
frame0105.png,-32185970.0,96158704.0
frame0106.png,-31990288.0,96056864.0
frame0107.png,-31845120.0,96041648.0
