Quadro,Min_Val,Max_Val
frame0001.png,1031184832.0,1421392000.0
frame0002.png,1031456640.0,1421857024.0
frame0003.png,1031637056.0,1421764224.0
frame0004.png,1031937408.0,1421801344.0
frame0005.png,1032218688.0,1421828608.0
frame0006.png,1033101568.0,1421897216.0
frame0007.png,1033279360.0,1422111744.0
frame0008.png,1033140544.0,1422226560.0
frame0009.png,1033545792.0,1422346112.0
frame0010.png,1033984384.0,1422454144.0
frame0011.png,1033432256.0,1422366464.0
frame0012.png,1033599296.0,1422341632.0
frame0013.png,1033350208.0,1421845632.0
frame0014.png,1033344576.0,1421987072.0
frame0015.png,1033274688.0,1421873408.0
frame0016.png,1033017664.0,1421761792.0
frame0017.png,1033123456.0,1421907584.0
frame0018.png,1033401536.0,1421711744.0
frame0019.png,1033306752.0,1421054848.0
frame0020.png,1033496448.0,1420333056.0
frame0021.png,1033654016.0,1419273600.0
frame0022.png,1034526784.0,1417972736.0
frame0023.png,1034385600.0,1416315136.0
frame0024.png,1034671296.0,1413381504.0
frame0025.png,1035133632.0,1410944768.0
frame0026.png,1035872128.0,1409784576.0
frame0027.png,1036057600.0,1408578048.0
frame0028.png,1036604160.0,1407573632.0
frame0029.png,1036624640.0,1406006016.0
frame0030.png,1037984256.0,1404796032.0
frame0031.png,1038829888.0,1403322624.0
frame0032.png,1039414336.0,1401776256.0
frame0033.png,1039641536.0,1400285184.0
frame0034.png,1040118272.0,1398433024.0
frame0035.png,1040471552.0,1396471040.0
frame0036.png,1040700288.0,1394065152.0
frame0037.png,1041230016.0,1391952512.0
frame0038.png,1041104064.0,1389324288.0
frame0039.png,1041225472.0,1386582784.0
frame0040.png,1041270336.0,1383745664.0
frame0041.png,1041203392.0,1380802048.0
frame0042.png,1041127424.0,1377185408.0
frame0043.png,1041227776.0,1374529664.0
frame0044.png,1040881792.0,1373338240.0
frame0045.png,1040916224.0,1372473600.0
frame0046.png,1040529792.0,1370971392.0
frame0047.png,1040428416.0,1369693696.0
frame0048.png,1040215680.0,1368072960.0
frame0049.png,1040403392.0,1366648832.0
frame0050.png,1040165632.0,1364790784.0
frame0051.png,1040542848.0,1364544000.0
frame0052.png,1040477824.0,1364804096.0
frame0053.png,1040496896.0,1365079680.0
frame0054.png,1040353664.0,1365298560.0
frame0055.png,1040549760.0,1365616512.0
frame0056.png,1040719232.0,1365920384.0
frame0057.png,1040995136.0,1366036992.0
frame0058.png,1041589504.0,1366034304.0
frame0059.png,1041789248.0,1366211456.0
frame0060.png,1041434880.0,1366462848.0
frame0061.png,1041889152.0,1367457920.0
frame0062.png,1041197184.0,1368989056.0
frame0063.png,1040639488.0,1370209664.0
frame0064.png,1040467200.0,1371456768.0
frame0065.png,1040935744.0,1372475520.0
frame0066.png,1040740416.0,1373718144.0
frame0067.png,1041231360.0,1374509568.0
frame0068.png,1041586048.0,1375522432.0
frame0069.png,1042415936.0,1376040192.0
frame0070.png,1042086528.0,1376875136.0
frame0071.png,1043142528.0,1377231488.0
frame0072.png,1043018624.0,1378178432.0
frame0073.png,1043732864.0,1378954624.0
frame0074.png,1043103680.0,1380377600.0
frame0075.png,1042418560.0,1381268224.0
frame0076.png,1042676864.0,1382361984.0
frame0077.png,1043284800.0,1383129216.0
frame0078.png,1042717056.0,1384117888.0
frame0079.png,1042063232.0,1385028992.0
frame0080.png,1041490880.0,1386412672.0
frame0081.png,1041129856.0,1387361408.0
frame0082.png,1040238848.0,1388348160.0
frame0083.png,1039391872.0,1389132032.0
frame0084.png,1038873216.0,1390466176.0
frame0085.png,1037766272.0,1390790784.0
frame0086.png,1036968512.0,1391312128.0
frame0087.png,1037636928.0,1392076416.0
frame0088.png,1037328768.0,1392917760.0
frame0089.png,1038060864.0,1392950272.0
frame0090.png,1038148672.0,1392891520.0
frame0091.png,1037397568.0,1392441728.0
frame0092.png,1037136192.0,1392342400.0
frame0093.png,1035706944.0,1391622144.0
frame0094.png,1035665664.0,1391896320.0
frame0095.png,1034009408.0,1391788544.0
frame0096.png,1034032704.0,1391989120.0
frame0097.png,1033762624.0,1392015744.0
frame0098.png,1034192000.0,1391921024.0
frame0099.png,1033827712.0,1391040384.0
frame0100.png,1034265984.0,1391478528.0
frame0101.png,1034454592.0,1391365760.0
frame0102.png,1034601408.0,1391259264.0
frame0103.png,1033399552.0,1391000576.0
frame0104.png,1033561216.0,1391123968.0
frame0105.png,1033457216.0,1391307264.0
frame0106.png,1034551616.0,1392090880.0
frame0107.png,1034346816.0,1392510592.0
frame0108.png,1035251456.0,1393014656.0
frame0109.png,1034062912.0,1394347264.0
frame0110.png,1034385088.0,1394472320.0
frame0111.png,1034468032.0,1393958400.0
frame0112.png,1034562560.0,1394482688.0
frame0113.png,1035164096.0,1394147712.0
frame0114.png,1035991744.0,1394230656.0
frame0115.png,1035161920.0,1394183808.0
frame0116.png,1035134592.0,1394320896.0
frame0117.png,1034419392.0,1394400256.0
frame0118.png,1034309376.0,1394428288.0
frame0119.png,1033730112.0,1394662016.0
frame0120.png,1034203520.0,1394693760.0
frame0121.png,1035101248.0,1394378368.0
frame0122.png,1035004928.0,1394440832.0
frame0123.png,1036024448.0,1394276480.0
frame0124.png,1035748032.0,1393637504.0
frame0125.png,1035629568.0,1393634432.0
frame0126.png,1034600768.0,1393509888.0
frame0127.png,1034619520.0,1393077120.0
frame0128.png,1034575424.0,1392539136.0
frame0129.png,1034704896.0,1392333568.0
frame0130.png,1034112960.0,1391887616.0
frame0131.png,1033543040.0,1391073152.0
frame0132.png,1033960512.0,1390513408.0
frame0133.png,1034086336.0,1389936384.0
frame0134.png,1034147584.0,1389289472.0
frame0135.png,1034333760.0,1388555776.0
frame0136.png,1035065280.0,1387912960.0
frame0137.png,1034979712.0,1387001344.0
frame0138.png,1035236736.0,1386490112.0
frame0139.png,1034953344.0,1385820928.0
frame0140.png,1035310848.0,1385516032.0
frame0141.png,1034654912.0,1385379456.0
frame0142.png,1034499328.0,1385367424.0
frame0143.png,1034078976.0,1384781184.0
frame0144.png,1034341888.0,1384567296.0
frame0145.png,1033774848.0,1383930240.0
frame0146.png,1034533120.0,1384291200.0
frame0147.png,1034447552.0,1384465280.0
frame0148.png,1034832576.0,1384474496.0
frame0149.png,1035021056.0,1384568704.0
frame0150.png,1035724096.0,1384612352.0
frame0151.png,1035841408.0,1384935680.0
frame0152.png,1036487872.0,1385086208.0
frame0153.png,1036215616.0,1385307392.0
frame0154.png,1035615296.0,1385730432.0
frame0155.png,1035333504.0,1386418432.0
frame0156.png,1036043840.0,1386633600.0
frame0157.png,1035648576.0,1386720512.0
frame0158.png,1035933696.0,1386854144.0
frame0159.png,1036759296.0,1386875776.0
frame0160.png,1037516288.0,1386914560.0
frame0161.png,1037725248.0,1386824832.0
frame0162.png,1038413568.0,1387360768.0
frame0163.png,1038156736.0,1387553152.0
frame0164.png,1038917760.0,1387408128.0
frame0165.png,1038427072.0,1386798720.0
frame0166.png,1038452992.0,1386540800.0
frame0167.png,1038832256.0,1386321536.0
frame0168.png,1038868288.0,1386095232.0
frame0169.png,1039453888.0,1385849856.0
frame0170.png,1040660672.0,1385316736.0
frame0171.png,1041595072.0,1384207744.0
frame0172.png,1042370752.0,1383785728.0
frame0173.png,1042606976.0,1383325696.0
frame0174.png,1042925376.0,1383017600.0
frame0175.png,1042268160.0,1381938432.0
frame0176.png,1042049024.0,1381225088.0
frame0177.png,1041970176.0,1380571648.0
