Quadro,Min_Val,Max_Val
frame0001.png,160512.0,387180544.0
frame0002.png,600960.0,388059136.0
frame0003.png,804352.0,388301184.0
frame0004.png,797312.0,388294272.0
frame0005.png,979200.0,388144640.0
frame0006.png,1280768.0,388182272.0
frame0007.png,1318912.0,388218240.0
frame0008.png,1199744.0,388271744.0
frame0009.png,1233408.0,388251776.0
frame0010.png,1394176.0,388318848.0
frame0011.png,1487616.0,388285824.0
frame0012.png,1349504.0,388277888.0
frame0013.png,1344384.0,387885312.0
frame0014.png,1415680.0,387979392.0
frame0015.png,1204096.0,387981056.0
frame0016.png,1406976.0,387945088.0
frame0017.png,1502720.0,388313472.0
frame0018.png,1655296.0,388339712.0
frame0019.png,1554176.0,388194944.0
frame0020.png,1542656.0,388175360.0
frame0021.png,1926144.0,388304768.0
frame0022.png,2103296.0,388427904.0
frame0023.png,2233728.0,388946688.0
frame0024.png,2755328.0,389262464.0
frame0025.png,3440512.0,389694080.0
frame0026.png,4122496.0,390457472.0
frame0027.png,4896128.0,391402496.0
frame0028.png,5957376.0,392100480.0
frame0029.png,6830976.0,392851840.0
frame0030.png,7717376.0,393623296.0
frame0031.png,8724480.0,394372608.0
frame0032.png,9744256.0,395479808.0
frame0033.png,10651008.0,396257408.0
frame0034.png,11659008.0,397087104.0
frame0035.png,12660480.0,397846784.0
frame0036.png,13632768.0,398699904.0
frame0037.png,14421248.0,399543936.0
frame0038.png,15303296.0,400072960.0
frame0039.png,16147840.0,400436992.0
frame0040.png,17150720.0,400594432.0
frame0041.png,17959808.0,400599168.0
frame0042.png,18995968.0,400471424.0
frame0043.png,19835136.0,400338048.0
frame0044.png,20979840.0,400104320.0
frame0045.png,21786112.0,399838208.0
frame0046.png,22785536.0,399615104.0
frame0047.png,23633408.0,399901184.0
frame0048.png,24468608.0,399626240.0
frame0049.png,25167488.0,399524352.0
frame0050.png,26015872.0,398979840.0
frame0051.png,26696960.0,398973056.0
frame0052.png,27376640.0,398408192.0
frame0053.png,27866624.0,398405504.0
frame0054.png,28318464.0,398163072.0
frame0055.png,28805632.0,398308480.0
frame0056.png,29226240.0,397653888.0
frame0057.png,29664768.0,397784320.0
frame0058.png,30190592.0,397204992.0
frame0059.png,30438400.0,397277440.0
frame0060.png,31242624.0,396797184.0
frame0061.png,31777024.0,397030656.0
frame0062.png,32375680.0,396232320.0
frame0063.png,32948096.0,396166272.0
frame0064.png,33477248.0,395735680.0
frame0065.png,33953792.0,395624320.0
frame0066.png,34605056.0,394779648.0
frame0067.png,35110272.0,394811008.0
frame0068.png,35470208.0,393755520.0
frame0069.png,35916672.0,393857664.0
frame0070.png,36493696.0,393400320.0
frame0071.png,36687872.0,393641344.0
frame0072.png,37332736.0,393286528.0
frame0073.png,37662080.0,393742976.0
frame0074.png,38094080.0,393542400.0
frame0075.png,38611200.0,393588352.0
frame0076.png,38984448.0,393251328.0
frame0077.png,39429632.0,393308032.0
frame0078.png,40022272.0,392634752.0
frame0079.png,40584704.0,392548864.0
frame0080.png,41109760.0,392036992.0
frame0081.png,41368192.0,392196224.0
frame0082.png,41406464.0,391796480.0
frame0083.png,41714944.0,392112384.0
frame0084.png,41936384.0,392918144.0
frame0085.png,42066560.0,392663424.0
frame0086.png,42309376.0,392940800.0
frame0087.png,42538368.0,393413504.0
frame0088.png,42698752.0,394617088.0
frame0089.png,42825088.0,394529536.0
frame0090.png,43024256.0,394331520.0
frame0091.png,43319040.0,394347136.0
frame0092.png,43506304.0,394397184.0
frame0093.png,43994880.0,392988032.0
frame0094.png,43695872.0,392979584.0
frame0095.png,43947008.0,392073856.0
frame0096.png,44199936.0,391507712.0
frame0097.png,44150400.0,390908032.0
frame0098.png,44617472.0,390170112.0
frame0099.png,44969216.0,388517632.0
frame0100.png,45383936.0,388256384.0
frame0101.png,45451648.0,387939968.0
frame0102.png,45717632.0,386922240.0
frame0103.png,46119936.0,386099200.0
frame0104.png,46472320.0,385780352.0
frame0105.png,46709760.0,384697216.0
frame0106.png,46945792.0,384110464.0
frame0107.png,47172224.0,384348288.0
frame0108.png,47292672.0,383880448.0
frame0109.png,47467264.0,382899712.0
frame0110.png,47643136.0,383005056.0
frame0111.png,47611008.0,383801856.0
frame0112.png,47795200.0,383653120.0
frame0113.png,48004864.0,384526848.0
frame0114.png,48005376.0,384537088.0
frame0115.png,48072960.0,384631808.0
frame0116.png,48071680.0,384622720.0
frame0117.png,47935616.0,384988544.0
frame0118.png,47858688.0,384898816.0
frame0119.png,48054400.0,385185152.0
frame0120.png,47904768.0,385206528.0
frame0121.png,47872896.0,385255424.0
frame0122.png,47637760.0,385886976.0
frame0123.png,47330816.0,385995904.0
frame0124.png,47406592.0,385787392.0
frame0125.png,47122176.0,386055936.0
frame0126.png,46888832.0,386232448.0
frame0127.png,46567168.0,386365312.0
frame0128.png,46152832.0,386351744.0
frame0129.png,45979136.0,386758144.0
frame0130.png,45765888.0,386968320.0
frame0131.png,45475968.0,386834048.0
frame0132.png,45367680.0,386743424.0
frame0133.png,44932096.0,386682496.0
frame0134.png,44784384.0,386455424.0
frame0135.png,44386176.0,385783680.0
frame0136.png,44219392.0,385623808.0
frame0137.png,43738368.0,385470336.0
frame0138.png,43432448.0,385528064.0
frame0139.png,43198336.0,385954688.0
frame0140.png,43027840.0,385968384.0
frame0141.png,43065600.0,386497280.0
frame0142.png,42876160.0,386486272.0
frame0143.png,42783360.0,386978304.0
frame0144.png,42573056.0,386983040.0
frame0145.png,42485632.0,386951168.0
frame0146.png,42254208.0,386856448.0
frame0147.png,42056064.0,387033600.0
frame0148.png,41873152.0,387086848.0
frame0149.png,41765248.0,387595008.0
frame0150.png,41692928.0,387779200.0
frame0151.png,41564032.0,387874304.0
frame0152.png,41473024.0,388008576.0
frame0153.png,41319424.0,388227968.0
frame0154.png,41060992.0,387988096.0
frame0155.png,40988544.0,388536192.0
frame0156.png,40827776.0,388298368.0
frame0157.png,40582656.0,388228480.0
frame0158.png,40525568.0,388382720.0
frame0159.png,40248576.0,389196160.0
frame0160.png,40000256.0,389220992.0
frame0161.png,40035328.0,390181248.0
frame0162.png,39651072.0,390736000.0
frame0163.png,39475840.0,391062272.0
frame0164.png,39141504.0,391144448.0
frame0165.png,38826752.0,391681152.0
frame0166.png,38381824.0,391369088.0
frame0167.png,37943680.0,391505024.0
frame0168.png,37448960.0,391748480.0
frame0169.png,37027456.0,392088704.0
frame0170.png,36182528.0,392574336.0
frame0171.png,35603200.0,392777088.0
frame0172.png,34979968.0,392779776.0
frame0173.png,34348928.0,393485824.0
frame0174.png,33935360.0,393645568.0
frame0175.png,33562624.0,394313728.0
frame0176.png,33019520.0,394773760.0
frame0177.png,32548992.0,394861312.0
frame0178.png,32155264.0,395264256.0
frame0179.png,31810304.0,395638400.0
frame0180.png,31343872.0,395836288.0
frame0181.png,30515712.0,396128000.0
frame0182.png,30118656.0,397071104.0
frame0183.png,29362944.0,397326080.0
frame0184.png,28940800.0,397655168.0
frame0185.png,28370560.0,398050048.0
frame0186.png,27819776.0,398555136.0
frame0187.png,27132672.0,399094656.0
frame0188.png,26676224.0,399354112.0
frame0189.png,26309120.0,399996288.0
frame0190.png,25501312.0,400039168.0
frame0191.png,25097344.0,400376832.0
frame0192.png,24603008.0,399962880.0
frame0193.png,23849088.0,400171520.0
frame0194.png,23324032.0,400362112.0
frame0195.png,22458368.0,400558976.0
frame0196.png,21916800.0,400949504.0
frame0197.png,21173888.0,401083136.0
frame0198.png,20307840.0,400851584.0
frame0199.png,19743360.0,400965376.0
frame0200.png,19079808.0,400773632.0
frame0201.png,18401792.0,400674944.0
frame0202.png,17737216.0,400821248.0
frame0203.png,17074560.0,400748672.0
frame0204.png,16363648.0,400953216.0
frame0205.png,15618560.0,400290048.0
frame0206.png,14902912.0,399940992.0
frame0207.png,14269824.0,399014912.0
frame0208.png,13544192.0,398524160.0
frame0209.png,12898304.0,397800832.0
frame0210.png,12553216.0,397110912.0
frame0211.png,12529536.0,396597504.0
frame0212.png,12275200.0,395831936.0
frame0213.png,11984640.0,395437056.0
frame0214.png,11580416.0,394796416.0
frame0215.png,11473792.0,393933312.0
frame0216.png,11384704.0,393332352.0
frame0217.png,11232000.0,392783744.0
frame0218.png,11184256.0,392221440.0
frame0219.png,11250432.0,391507328.0
frame0220.png,11760640.0,391365120.0
frame0221.png,11979136.0,390967808.0
frame0222.png,12560192.0,390663424.0
frame0223.png,13351360.0,390665088.0
frame0224.png,14216000.0,390669952.0
frame0225.png,14765440.0,390684416.0
frame0226.png,15586880.0,390695040.0
frame0227.png,16690368.0,390950400.0
frame0228.png,17698112.0,390975616.0
frame0229.png,18831872.0,391063552.0
frame0230.png,19940800.0,391116160.0
frame0231.png,21127232.0,390946560.0
frame0232.png,22354176.0,390924032.0
frame0233.png,23462656.0,390776576.0
frame0234.png,24925184.0,390839424.0
frame0235.png,26220032.0,390919296.0
frame0236.png,27465024.0,390910464.0
frame0237.png,28826624.0,390744576.0
frame0238.png,30151296.0,390751872.0
frame0239.png,31563968.0,390832640.0
frame0240.png,32738944.0,390832128.0
frame0241.png,33845184.0,390848256.0
frame0242.png,34961472.0,390745088.0
frame0243.png,35841216.0,390785536.0
frame0244.png,37161856.0,390800256.0
frame0245.png,37909888.0,390724736.0
frame0246.png,38567168.0,390864640.0
frame0247.png,39332992.0,390755840.0
frame0248.png,39969856.0,390302464.0
frame0249.png,40441088.0,390319744.0
frame0250.png,41087296.0,390697856.0
frame0251.png,41579392.0,390734336.0
frame0252.png,42270848.0,390753280.0
frame0253.png,42950400.0,390765440.0
frame0254.png,43837632.0,390622464.0
frame0255.png,44277696.0,390762752.0
frame0256.png,44894400.0,391562240.0
frame0257.png,45288832.0,391986688.0
frame0258.png,45381248.0,392988160.0
frame0259.png,45675520.0,392992256.0
frame0260.png,45589760.0,392889088.0
frame0261.png,45526144.0,392802688.0
frame0262.png,45728512.0,392918272.0
frame0263.png,46067840.0,392696576.0
frame0264.png,46465728.0,393076480.0
frame0265.png,47033344.0,392958464.0
frame0266.png,47491904.0,392979968.0
frame0267.png,48045440.0,392951424.0
frame0268.png,48640768.0,393381760.0
frame0269.png,49180736.0,393049984.0
frame0270.png,49699904.0,393085056.0
frame0271.png,50349696.0,393886592.0
frame0272.png,50910080.0,393716992.0
frame0273.png,51347392.0,394179840.0
frame0274.png,52157696.0,393809536.0
frame0275.png,52517952.0,393787136.0
frame0276.png,53174336.0,392944384.0
frame0277.png,53701760.0,393044608.0
frame0278.png,54169024.0,392501888.0
frame0279.png,54715520.0,392609152.0
frame0280.png,55381888.0,392384768.0
frame0281.png,55834368.0,392499328.0
frame0282.png,56473920.0,392255360.0
frame0283.png,57173376.0,391536768.0
frame0284.png,58013760.0,390882304.0
frame0285.png,58474112.0,390692992.0
frame0286.png,58974592.0,390032768.0
frame0287.png,59553664.0,389444736.0
frame0288.png,60241984.0,388446976.0
frame0289.png,60644736.0,388236288.0
frame0290.png,61178816.0,387892352.0
frame0291.png,61352256.0,387905408.0
frame0292.png,61762048.0,387638528.0
frame0293.png,62173696.0,387615872.0
frame0294.png,62316800.0,387308544.0
frame0295.png,62448704.0,387371392.0
frame0296.png,62659776.0,387319168.0
frame0297.png,62978368.0,387211904.0
frame0298.png,63091136.0,386902016.0
frame0299.png,62464192.0,387284992.0
frame0300.png,62486080.0,388029184.0
frame0301.png,63178752.0,388121728.0
frame0302.png,63190528.0,387345920.0
frame0303.png,63434816.0,387057536.0
frame0304.png,63405440.0,386862464.0
